GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201511020009,2015-11-02,"Ukraine","Kiev","Unknown",0,,,,,0,0,Government (General),,,Eastern Europe,Armed Assault,,,Firearms,,,
201511010076,2015-11-01,"United States","Tupelo","Right-wing extremists",0,,,,,0,0,Business,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201511010017,2015-11-01,"Ukraine","Lysychansk","Unknown",0,,,,,0,0,Government (General),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510310072,2015-10-31,"Mexico","Ecatepec","Pagan Sect of the Mountain",0,,,,,0,0,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510310071,2015-10-31,"Mexico","Ecatepec","Pagan Sect of the Mountain",0,,,,,0,0,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510310070,2015-10-31,"Mexico","Ecatepec","Pagan Sect of the Mountain",0,,,,,0,0,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510310069,2015-10-31,"Mexico","Ecatepec","Pagan Sect of the Mountain",0,,,,,0,0,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510310068,2015-10-31,"Mexico","Ecatepec","Pagan Sect of the Mountain",0,,,,,0,0,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510310067,2015-10-31,"Mexico","Ecatepec","Pagan Sect of the Mountain",0,,,,,0,0,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510310066,2015-10-31,"Mexico","Ecatepec","Pagan Sect of the Mountain",0,,,,,0,0,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510310065,2015-10-31,"Mexico","Ecatepec","Pagan Sect of the Mountain",0,,,,,0,0,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510310064,2015-10-31,"Mexico","Ecatepec","Pagan Sect of the Mountain",0,,,,,0,0,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510290074,2015-10-29,"Ukraine","Lviv","Unknown",0,,,,,0,0,Government (General),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510290073,2015-10-29,"Ukraine","Svatovo","Unknown",0,,,,,2,8,Military,Private Citizens & Property,,Eastern Europe,Armed Assault,,,Firearms,,,
201510190026,2015-10-19,"Ukraine","Mariupol","Donetsk People's Republic",1,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510170055,2015-10-17,"Ukraine","Hirkse","Unknown",0,,,,,0,1,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510150027,2015-10-15,"Ukraine","Stanytsia Luhanska","Unknown",0,,,,,2,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510120032,2015-10-12,"Ukraine","Unknown","Unknown",0,,,,,0,1,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510100036,2015-10-10,"Ukraine","Volnovask district","Unknown",0,,,,,0,1,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510090037,2015-10-09,"Ukraine","Odessa","Unknown",0,,,,,0,0,Government (General),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510070054,2015-10-07,"Ukraine","Vovchansk","Unknown",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201510060030,2015-10-06,"Ukraine","Kupyansk-Vuzlovyy","Unknown",0,,,,,0,0,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201509300017,2015-09-30,"Ukraine","Kherson","Unknown",0,,,,,0,0,Government (General),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201509240056,2015-09-24,"Ukraine","Torez","Unknown",0,,,,,1,3,Terrorists/Non-state Militia,Private Citizens & Property,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201509150080,2015-09-15,"Russia","Rubas","Unknown",0,,,,,3,0,Private Citizens & Property,,,Eastern Europe,Armed Assault,,,Firearms,,,
201509130028,2015-09-13,"Ukraine","Horlivka","Unknown",0,,,,,0,2,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201509040020,2015-09-04,"Ukraine","Dzerzhynsk","Unknown",0,,,,,0,2,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201509040019,2015-09-04,"Ukraine","Stepne","Unknown",0,,,,,0,1,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201509040018,2015-09-04,"Ukraine","Rivne","Unknown",0,,,,,0,0,Government (General),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201509020028,2015-09-01,"Ukraine","Lobacheve","Luhansk People's Republic",0,,,,,2,4,Government (General),Military,,Eastern Europe,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Firearms,
201508310082,2015-08-31,"Ukraine","Melitopol","Unknown",0,,,,,0,0,Government (General),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201508270079,2015-08-27,"Ukraine","Kiev","Unknown",0,,,,,0,0,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201508270078,2015-08-27,"Ukraine","Chermalyk","Unknown",0,,,,,0,0,Military,Private Citizens & Property,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201508240072,2015-08-24,"Ukraine","Avdiivka","Unknown",0,,,,,0,0,Private Citizens & Property,Private Citizens & Property,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201508180088,2015-08-18,"Ukraine","Krymske","Unknown",0,,,,,0,2,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201508170036,2015-08-16,"Ukraine","Sartana","Donetsk People's Republic",0,,,,,3,5,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201508160090,2015-08-16,"Ukraine","Lebedynske","Donetsk People's Republic",0,,,,,2,0,Military,Private Citizens & Property,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201508120095,2015-08-12,"Ukraine","Unknown","Unknown",0,,,,,0,0,Transportation,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201508110046,2015-08-11,"Ukraine","Berezove","Unknown",0,,,,,0,1,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201508110029,2015-08-11,"Ukraine","Avdiivka","Unknown",0,,,,,0,1,Utilities,Private Citizens & Property,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201508100071,2015-08-10,"Ukraine","Holmivsky","Unknown",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201508030025,2015-08-03,"Ukraine","Kiev","Unknown",0,,,,,0,0,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201507270101,2015-07-27,"Ukraine","Shyrokyne","Unknown",0,,,,,0,1,Government (Diplomatic),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201507270072,2015-07-27,"Ukraine","Avdiivka","Unknown",0,,,,,1,0,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201507230080,2015-07-23,"United States","Lafayette","Anti-Government extremists",0,,,,,3,9,Business,,,North America,Armed Assault,,,Firearms,,,
201507200058,2015-07-20,"Ukraine","Odessa","Unknown",0,,,,,0,1,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201507190084,2015-07-19,"Ukraine","Kondrashivka","Unknown",0,,,,,0,1,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201507180079,2015-07-18,"Ukraine","Donetsk","Donetsk People's Republic",1,,,,,1,3,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201507180055,2015-07-18,"Ukraine","Avdiivka","Donetsk People's Republic",0,,,,,3,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201507150083,2015-07-15,"Ukraine","Kharkiv","Donetsk People's Republic",0,,,,,0,0,Transportation,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201507120074,2015-07-12,"Ukraine","Avdiivka","Donetsk People's Republic",0,,,,,0,2,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201507110060,2015-07-11,"Ukraine","Mukacheve","Right Sector",0,,,,,7,14,Government (General),Police,Private Citizens & Property,Eastern Europe,Hostage Taking (Kidnapping),Armed Assault,,Explosives/Bombs/Dynamite,Firearms,Firearms,
201507070073,2015-07-07,"Russia","Babayurt district","Unknown",0,,,,,1,0,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201507020012,2015-07-02,"Ukraine","Odessa","Odessa Underground",0,,,,,0,0,Business,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201507010045,2015-07-01,"Ukraine","Kharkiv","Unknown",0,,,,,0,0,Educational Institution,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506300120,2015-07-01,"Ukraine","Karlivka","Unknown",0,,,,,0,0,Government (General),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201506260090,2015-06-26,"Ukraine","Kharkiv","Unknown",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Armed Assault,,,Firearms,,,
201506260089,2015-06-26,"Ukraine","Kharkiv","Unknown",0,,,,,0,2,Private Citizens & Property,,,Eastern Europe,Armed Assault,,,Firearms,,,
